scat_angle,polar_frac,error_polar_frac,spf_polar,spf_polar_error,spf,spf_error
60.0,0.2109567761081975,0.0070351848712006445,1381.1511590848227,37.36968912101016,6547.081276860455,127.63873144111365
61.0,0.2143940879620527,0.007140171743236666,1376.6260447502707,37.03897557048982,6421.007490626003,126.02874213931874
62.0,0.21650110711393436,0.007230561452745622,1364.4592741360616,36.71708025688187,6302.320077365751,124.6609101616846
63.0,0.21864136631784478,0.007331418142254865,1351.7628543964465,36.415009111977895,6182.557661258633,123.4455395418851
64.0,0.22088656286546646,0.007443620640530091,1338.9151367823595,36.11422619705353,6061.550867618151,122.44968371475952
65.0,0.22324415883397575,0.007569191809638442,1325.916393079566,35.8421382660269,5939.310573700768,121.55308411618664
66.0,0.22572157246625607,0.007705325485899617,1312.7653804004322,35.57055097462594,5815.861399763561,120.7554695299082
67.0,0.22832725086089653,0.007850512220159695,1299.5095668224126,35.28862745564731,5691.434386051934,120.02840985991382
68.0,0.2310701981305457,0.008005560905051038,1286.163529399182,35.01637110803018,5566.11601065296,119.26193756678968
69.0,0.23396023869518115,0.008173589739379877,1272.637524858036,34.766141168956416,5439.546189368152,118.45573763211529
70.0,0.2370093507784049,0.0083531629552607,1259.0501768822726,34.51847783237577,5312.238410624729,117.65000938238948
71.0,0.2402292889351895,0.008548125131077238,1245.3427826006125,34.272528649538934,5183.975643105652,116.93082935378585
72.0,0.24363341270320504,0.008764059578648094,1231.5601249124175,34.03795903230581,5054.972186482105,116.39005196267289
73.0,0.2472374213080762,0.009000778170602023,1217.6591197848381,33.80077249373918,4925.059941745406,116.00598922385633
74.0,0.2510574250784698,0.009254522486260327,1203.6412878293347,33.56078225188443,4794.286755124363,115.59842568783249
75.0,0.2551127791764816,0.00952736039673733,1189.5810673409724,33.33422867461089,4662.961499541524,115.11730731572558
76.0,0.2594236975119075,0.009823311187339055,1175.4532567898123,33.11977880294984,4531.017282011637,114.62034341830415
77.0,0.2640136809972979,0.010147355654415956,1161.2247509849062,32.91852598594754,4398.35067106538,114.1565603617448
78.0,0.26882882782085976,0.010500101384844102,1146.9180557030422,32.73115219338528,4266.350692371866,113.77194626952412
79.0,0.27321514040544514,0.010845347506806003,1132.5642030336055,32.56103137219097,4145.320062983719,113.4607658146863
80.0,0.2761014826420622,0.01111713456528578,1118.1389254986423,32.4070401514688,4049.7389394616075,113.19206446083629
81.0,0.2769648879878421,0.011279945983649476,1103.6347757960018,32.271737800543335,3984.7461669742343,112.96125257303318
82.0,0.2758440164474054,0.011329738734078025,1089.1270724019132,32.15472852223798,3948.344018582599,112.74300719177783
83.0,0.2734231636139194,0.011305908141294313,1074.5411827401595,32.05337525033253,3929.956659624638,112.53421150585912
84.0,0.2706519063081839,0.01126548682750067,1059.9279573649949,31.966493411050838,3916.2035539409208,112.34423645650622
85.0,0.2678391691735004,0.011228611449499626,1045.2576173541302,31.89633422969574,3902.5569731999685,112.18423613914436
86.0,0.2650016547732367,0.011194973866353465,1030.5536612031092,31.839072553751986,3888.8574567013907,112.04535082044816
87.0,0.26214104409747374,0.011164915972052268,1015.8264743159833,31.793012997415232,3875.1141692190004,111.94118544633291
88.0,0.2592547312051639,0.011138813964385175,1001.0708628948012,31.76308258141461,3861.340767982334,111.86120844100026
89.0,0.25632711312508333,0.011115770991229169,986.2256198705364,31.743994052743766,3847.5275121960076,111.81332780890867
90.0,0.25333834181768816,0.011096235369140813,971.2125838606155,31.738562617418722,3833.6580909633362,111.8027645834914
91.0,0.25028033594914867,0.011079823866806952,955.9920688377164,31.747262041329023,3819.6850951644574,111.81856136197527
92.0,0.24715362837106247,0.011065988927886565,940.614515938323,31.76602908476622,3805.788821057232,111.8777392671644
93.0,0.2439717717421533,0.0110554102699198,925.076732423603,31.799892487379587,3791.7367481402307,111.95047441967495
94.0,0.24075909432881806,0.011048999064215661,909.519383053272,31.84795986477754,3777.715585734389,112.0631992883316
95.0,0.23752624944428113,0.011045795655891194,893.9817447004293,31.906749706270055,3763.717680854214,112.20384997792652
96.0,0.23427289177307328,0.011046777575752804,878.4606680111299,31.98037279473334,3749.732465256989,112.37465952322621
97.0,0.2310002896683448,0.011052012025215673,862.9279133090686,32.06846563341567,3735.6139879651423,112.56658272051271
98.0,0.22770916754543324,0.011060703531491025,847.4537964438327,32.17095988745251,3721.6498816401236,112.77947480175754
99.0,0.22439165462202296,0.0110728858192266,831.9909299787334,32.29128450164742,3707.762355869172,112.99102448779529
100.0,0.22103422606780346,0.011088912717267902,816.5638379587675,32.43064513252822,3694.2868644618056,113.23448438859889
101.0,0.21763197790327687,0.01110825622768365,801.1613683443468,32.587697450936346,3681.266769998343,113.50781938040109
102.0,0.21418790413854433,0.011130745231660636,785.831202439978,32.76130947247583,3668.8869317833864,113.82616706451617
103.0,0.21071261516834905,0.011159040946076223,770.5340632822483,32.95190955469015,3656.800816916583,114.22828161659476
104.0,0.20722125882862558,0.011192612303817335,755.2812474759089,33.155076177515284,3644.8058068237847,114.7034104031315
105.0,0.20372242763996545,0.011229830982061949,740.112768682661,33.37096622197174,3632.9469330232378,115.20200224223167
106.0,0.20021611429787364,0.011270601083139277,724.9843773135653,33.603294460251696,3621.009127342079,115.67140247952443
107.0,0.19670316141734998,0.011311428127600717,709.9287417740677,33.84148348318713,3609.1374264585115,116.0837801671648
108.0,0.19318472863105315,0.011351925756050273,694.951902934866,34.07637577344927,3597.3438887195616,116.49106409305448
109.0,0.18966284214316165,0.011399000255584027,680.0497030731456,34.31527267206321,3585.571614285044,117.06606369383032
110.0,0.18613724004068669,0.01145213742927977,665.237219355068,34.559895141355184,3573.9071838051186,117.79934835380139
111.0,0.18260891668469825,0.01150886617727673,650.4958028096647,34.81002240487611,3562.234608361669,118.59945493896579
112.0,0.17907885718814393,0.011566686298013322,635.8416202924255,35.06274633209875,3550.6236206566655,119.40938188462597
113.0,0.17554866412188322,0.011628233003991493,621.3115304925516,35.33739538230422,3539.255246403788,120.16974396586775
114.0,0.1720178323707792,0.011692549818536468,606.8451598462384,35.62290321214464,3527.803783378703,120.89680833606828
115.0,0.16848742975571646,0.011755607685693269,592.4912594512598,35.895275982461456,3516.530938303768,121.69809953490079
116.0,0.16495728007855343,0.011822669591305368,578.2331418920736,36.17102468744171,3505.3508497273738,122.62186557427584
117.0,0.16142560267875117,0.011898930363578801,564.0583452667884,36.47151855901316,3494.231001195678,123.667610140143
118.0,0.15788950900195398,0.011979290411175132,549.987825228048,36.77320713494529,3483.3715596724132,124.91440735611552
119.0,0.15433384033817008,0.01206960794890358,535.9772792324794,37.10473107419134,3472.8435322938094,126.33755471181857
120.0,0.1505455204070129,0.012156174183247886,521.4795678582257,37.4393570323018,3463.9328121378853,128.01143708240903
